Fase;Semana;Mes;Nombre de Funcionalidad;Descripcion;Modulo / Componente;Impacto Negocio;Complejidad Tecnica;Depende de;Valor de Negocio;Carpeta Spec
5;Semana 1;Julio 2026;Deploy GCP + CI/CD;Llevar el sistema a produccion en Google Cloud Run con pipeline CI/CD automatico HTTPS y backups diarios;Infraestructura (Cloud Run Cloud SQL Secret Manager);Alto;Alta;—;Habilita acceso remoto del equipo. Prerequisito de todas las fases siguientes;specs/002-fase5-deploy-gcp
6;Semana 2;Julio 2026;Alertas por Palabras Clave;El usuario configura keywords y montos y el sistema notifica cuando aparece una licitacion relevante en el sync diario;MPM.Modules.Alertas;Alto;Media;Fase 5;Proactividad: el sistema busca por el equipo no al reves;specs/003-fase6-alertas-keywords
7;Semana 3;Julio 2026;Pipeline de Oportunidades;Tablero Kanban (Detectada > Evaluacion > Cotizacion > Presentada > Resultado) con responsable checklist y fechas;MPM.Modules.Pipeline;Alto;Alta;Fase 5;Visibilidad ejecutiva del estado de cada propuesta en tiempo real;specs/004-fase7-pipeline-oportunidades
8;Semana 4;Agosto 2026;Analisis IA de Bases de Licitacion;Gemini lee el PDF de bases y extrae objeto requisitos tecnicos documentos exigidos criterios fechas y riesgos;MPM.Modules.Analisis (extension);Alto;Media;Fase 5;Elimina lectura manual de 40+ paginas. Previene descalificaciones por documentos faltantes;specs/005-fase8-analisis-bases
9;Semana 5;Agosto 2026;Reportes Ejecutivos Automaticos;Generacion semanal automatica de PDF/Excel con KPIs del pipeline win rate competidores y proximos cierres. Envio por email cada miercoles;MPM.Modules.Reportes;Alto;Media;Fase 7;Elimina 1-2h de preparacion manual del reporte semanal para directivos;specs/006-fase9-reportes-ejecutivos
10;Semana 6;Agosto 2026;Notificaciones Multicanal;Entrega de alertas por Email y WhatsApp Business. El usuario elige canales por tipo de evento con anti-spam y agrupacion horaria;MPM.Modules.Notificaciones (extension);Medio;Media;Fase 6;Alertas criticas con 98% tasa apertura en WhatsApp vs 20% email;specs/007-fase10-notificaciones-multicanal
11;Semana 7;Septiembre 2026;Inteligencia Competitiva Avanzada;Perfiles de competidor con KPIs profundos historial de victorias enfrentamientos directos vs TIVIT y patron de perdidas;MPM.Modules.Analisis (extension);Alto;Alta;Fase 8;Responde con datos: por que Sonda gana mas y en que somos mas competitivos;specs/008-fase11-inteligencia-competitiva
12;Semana 8;Septiembre 2026;Gestion de Garantias;Registro y tracking de garantias bancarias (seriedad + fiel cumplimiento) con alertas a 30/14/7 dias antes del vencimiento;MPM.Modules.Garantias;Medio;Media;Fase 7;Previene descalificaciones por garantia vencida. Control de capital comprometido en BD;specs/009-fase12-garantias
13;Semana 9;Octubre 2026;CRM de Organismos Compradores;Ficha por organismo: contactos historial de licitaciones win rate notas de reuniones y alertas de proximas licitaciones esperadas;MPM.Modules.CRM;Medio;Alta;Fase 7;Conocimiento de cuenta centralizado. Protege activo comercial ante rotacion de personal;specs/010-fase13-crm-organismos
14;Semana 10;Octubre 2026;Predictor de Exito;Score 0-100% de probabilidad de ganar basado en historial organismo tipo monto y competidores esperados. Con simulador de precio;MPM.Modules.Analisis (extension);Alto;Muy Alta;Fase 11;Prioriza esfuerzo en licitaciones ganables. Ahorra 40-80h por propuesta descartada;specs/011-fase14-predictor-exito
15;Semana 11;Noviembre 2026;Pricing Intelligence;Benchmarking de precios por categoria y organismo. Recomendador de precio optimo con curva precio vs probabilidad de adjudicacion;MPM.Modules.Analisis (extension);Alto;Alta;Fase 11;Precio optimo = mayor margen posible sin perder la licitacion;specs/012-fase15-pricing-intelligence
16;Semana 12;Noviembre 2026;Portal de Revision Externa;Links compartibles con expiracion para acceso de solo lectura a un analisis especifico sin login en el sistema;MPM.Modules.Analisis (extension);Medio;Media;Fase 8;Colaboracion con socios y directivos sin abrir acceso completo al sistema;specs/013-fase16-portal-colaboracion
17;Semana 13;Diciembre 2026;Gestion Documental de Propuestas;Repositorio de plantillas reutilizables con control de versiones busqueda y checklist de completitud con alertas 48h antes del cierre;MPM.Modules.Documentos;Medio;Alta;Fase 7;Elimina busqueda de documentos en emails. Checklist previene descalificaciones por faltantes;specs/014-fase17-gestion-documental
18;Semana 14;Diciembre 2026;Integracion ERP (SAP/Oracle);Al ganar una licitacion MPM crea automaticamente el proyecto en el ERP con los datos del contrato. Cola de reintentos y log completo;MPM.Integrations.ERP;Medio;Muy Alta;Fase 7;Elimina doble ingreso de datos al ERP. Reduce errores de transcripcion de datos del contrato;specs/015-fase18-integracion-erp
